#OTU ID,24-S1-nc.blast,24-S2-nc.blast,24-S3-nc.blast,24-S4-nc.blast,24-S5-nc.blast,24-blank-nc.blast,BL3-S1-nc.blast,BL3-S2-nc.blast,BL3-S3-nc.blast,BL3-S5-nc.blast,BL3-blank-nc.blast,SG1-S1-nc.blast,SG1-S2-nc.blast,SG1-S3-nc.blast,SG1-S4-nc.blast,SG1-S5-nc.blast,SG1-blank-nc.blast,SG10-S1-nc.blast,SG10-S2-nc.blast,SG10-S3-nc.blast,SG10-S4-nc.blast,SG10-S5-nc.blast,SG10-blank-nc.blast,SG2-S1-nc.blast,SG2-S2-nc.blast,SG2-S3-nc.blast,SG2-S4-nc.blast,SG2-S5-nc.blast,SG2-blank-nc.blast,SG21-S1-nc.blast,SG21-S2-nc.blast,SG21-S3-nc.blast,SG21-S4-nc.blast,SG21-blank-nc.blast,SG22-S1-nc.blast,SG22-S2-nc.blast,SG22-S3-nc.blast,SG22-S4-nc.blast,SG22-S5-nc.blast,SG22-blank-nc.blast,SG23-S1-nc.blast,SG23-S2-nc.blast,SG23-S3-nc.blast,SG23-S4-nc.blast,SG23-S5-nc.blast,SG23-blank-nc.blast,SG5-S1-nc.blast,SG5-S2-nc.blast,SG5-S3-nc.blast,SG5-S4-nc.blast,SG5-S5-nc.blast,SG5-blank-nc.blast,SG7-S1-nc.blast,SG7-S2-nc.blast,SG7-S3-nc.blast,SG7-S4-nc.blast,SG7-S5-nc.blast,SG7-blank-nc.blast,SG8-S1-nc.blast,SG8-S2-nc.blast,SG8-S3-nc.blast,SG8-S4-nc.blast,SG8-S5-nc.blast,SG8-blank-nc.blast,SG9-S1-nc.blast,SG9-S2-nc.blast,SG9-S3-nc.blast,SG9-S4-nc.blast,SG9-S5-nc.blast,SG9-blank-nc.blast,W13-S1-nc.blast,W13-S2-nc.blast,W13-S3-nc.blast,W13-S4-nc.blast,W13-S5-nc.blast,W13-blank-nc.blast,W14-S1-nc.blast,W14-S2-nc.blast,W14-S3-nc.blast,W14-S4-nc.blast,W14-S5-nc.blast,W14-blank-nc.blast,W15-S1-nc.blast,W15-S2-nc.blast,W15-S3-nc.blast,W15-S4-nc.blast,W15-S5-nc.blast,W15-blank-nc.blast,W17-S1-nc.blast,W17-S2-nc.blast,W17-S3-nc.blast,W17-S4-nc.blast,W17-S5-nc.blast,W17-blank-nc.blast,W18-S1-nc.blast,W18-S2-nc.blast,W18-S3-nc.blast,W18-S4-nc.blast,W18-S5-nc.blast,W18-blank-nc.blast,neg1-nc.blast,neg2-nc.blast,neg3-nc.blast,pos1-nc.blast,pos2-nc.blast,pos3-nc.blast,taxomomy
Hypophthalmichthys_molitrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Hypophthalmichthys', 's__Hypophthalmichthys_molitrix']"
Leucaspius_delineatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Leucaspius', 's__Leucaspius_delineatus']"
Leuciscus_idus,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,1604,0,0,19,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,3,76,0,0,0,0,0,15,0,0,0,0,0,65,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,265,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Leuciscus', 's__Leuciscus_idus']"
Leuciscus_leuciscus,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,389,477,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,362,319,216,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Leuciscus', 's__Leuciscus_leuciscus']"
Phoxinus_phoxinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Phoxinus', 's__Phoxinus_phoxinus']"
Rhodeus_amarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,4470,4052,7399,6135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Rhodeus', 's__Rhodeus_amarus']"
Rutilus_rutilus,54924,63868,45137,39528,34225,0,0,5191,378,370,0,8,12,0,0,4504,0,5470,8011,3897,10926,7208,0,0,8032,596,11394,2465,0,0,323,738,105,0,141303,39108,26970,29412,55542,0,6993,2482,3314,2324,1062,0,11359,38282,24013,10745,5386,0,81729,87735,38492,44062,33960,0,39784,52097,46097,40352,46487,25,12612,33041,34211,27241,83175,0,486,6512,7685,35533,16554,0,252,834,5093,571,289,0,4108,6092,1291,6014,2581,0,45459,138780,10566,10026,1393,0,10009,2495,1641,3559,1512,0,79,0,160,42,0,176,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Rutilus', 's__Rutilus_rutilus']"
Scardinius_erythrophthalmus,1934,4314,1085,589,403,0,0,1510,12,0,0,0,0,0,0,0,0,1679,271,227,498,382,0,0,0,335,6317,10360,0,0,24,0,17,0,5156,1542,4347,2184,2530,0,0,0,388,0,172,0,0,3692,456,0,0,0,17345,14418,6244,3712,6114,0,3,1464,979,392,1306,0,2375,3319,5338,3595,13048,0,88,27,925,950,2108,0,0,376,130,0,0,0,2447,1737,663,3128,1492,0,11065,24810,3727,2060,855,0,1375,637,0,1481,500,0,4,0,4,7,0,11,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Scardinius', 's__Scardinius_erythrophthalmus']"
Squalius_cephalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,603,40,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,211,0,894,8651,3825,4180,5834,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Squalius', 's__Squalius_cephalus']"
Tinca_tinca,549,490,797,1513,476,0,0,801,0,6,0,0,0,0,0,2704,0,131,336,356,172,19,0,0,0,0,1268,690,0,0,0,72,16,0,3582,4413,2791,2703,1415,0,1404,0,2045,1502,0,0,741,186,1425,0,408,0,66,3919,4718,535,1035,0,138,0,307,111,185,0,91,4449,1037,6219,9769,0,85,3186,1576,4995,2766,0,1603,2619,155,0,965,0,4791,3393,4647,4902,4082,0,4358,1156,2662,2037,727,0,1308,1344,0,2014,250,0,9,0,7,0,0,14,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Tinca', 's__Tinca_tinca']"
